Comment,Designator,Footprint,LCSC Part #
0.01u,C1 C3,C0402,
30p,C19 C20,C0402,
1u,C2,C0402,
2.2u,C4,C0402,
4.7u,C5 C7 C16,0805K,
0.1u,C6 C8 C9 C10 C11 C12 C13 C14 C15 C17 C18 C21 C22 C23 C24,C0402,
7V12006001,CR1,7V12006001,
PGB1010603MR,D1 D2,603,
CDSOT23-SM712,D3 D4 D5 D6,SOT-23-3,
BLM15AX601SN1D,FL1 FL2 FL3,BLM15AX601SN1D,
FT4232HQ,IC1,FT4232HQ,
93LC56BT-I/OT,IC2,SOT-23-6,
ADM3078E,IC3 IC4 IC5 IC6,SOIC-8,
,LED1 LED2,C0402,
1k,R1 R2,R0402,
680,R10 R12 R13 R15 R16 R18 R19 R21,R0402,
120,R11 R14 R17 R20,R0402,
10,R3 R4,R0402,
15k,R5,R0402,
10k,R6 R8,R0402,
12k,R7,R0402,
2k,R9,R0402,
TPS73533DRBT,U1,SON-8,
